sample_id,lfdn,lfdn_key,source_var,response_text_raw,response_text,n_words,n_chars,stratum,response_freq,sample_seed,pre001,ostwest,sup057
gles_mip_v1_0001,9122,9122,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,female,West Germany,7
gles_mip_v1_0002,8513,8513,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,male,West Germany,6
gles_mip_v1_0003,3755,3755,pre020s,Migration,Migration,1,9,single_word,1128,2025,male,West Germany,4
gles_mip_v1_0004,6368,6368,pre020s,Asylpolitik,Asylpolitik,1,11,single_word,143,2025,male,Unit nonresponse,Unit nonresponse
gles_mip_v1_0005,92,92,pre020s,migranten,migranten,1,9,single_word,44,2025,male,West Germany,9
gles_mip_v1_0006,1010,1010,pre020s,Inflation,Inflation,1,9,single_word,136,2025,female,East Germany,3
gles_mip_v1_0007,2906,2906,pre020s,Sozial Politik,Sozial Politik,2,14,short_phrase,1,2025,female,West Germany,8
gles_mip_v1_0008,6869,6869,pre020s,Wirtschaftliche Situation,Wirtschaftliche Situation,2,25,short_phrase,22,2025,male,West Germany,8
gles_mip_v1_0009,5760,5760,pre020s,Migration,Migration,1,9,single_word,1128,2025,male,West Germany,9
gles_mip_v1_0010,1754,1754,pre020s,Chronische Unzufriedenheit,Chronische Unzufriedenheit,2,26,short_phrase,1,2025,female,West Germany,5
gles_mip_v1_0011,6372,6372,pre020s,Immigration und Rente,Immigration und Rente,3,21,short_phrase,1,2025,male,East Germany,Not ratable
gles_mip_v1_0012,4175,4175,pre020s,"AfD-Wahlen, weil die Wähler die anderen Parteien schlecht finden","AfD-Wahlen, weil die Wähler die anderen Parteien schlecht finden",10,64,elaborated,1,2025,female,West Germany,3
gles_mip_v1_0013,2513,2513,pre020s,Wirtschaftliche Lage,Wirtschaftliche Lage,2,20,short_phrase,99,2025,male,West Germany,4
gles_mip_v1_0014,1186,1186,pre020s,"Armut ,Alles wird immer teurer","Armut ,Alles wird immer teurer",5,30,elaborated,1,2025,female,West Germany,Break-off
gles_mip_v1_0015,6670,6670,pre020s,Asylrecht,Asylrecht,1,9,single_word,17,2025,male,West Germany,7
gles_mip_v1_0016,8738,8738,pre020s,Migration,Migration,1,9,single_word,1128,2025,female,West Germany,5
gles_mip_v1_0017,816,816,pre020s,Unzufriedenheit allgemein,Unzufriedenheit allgemein,2,25,short_phrase,1,2025,male,West Germany,6
gles_mip_v1_0018,1628,1628,pre020s,Migration,Migration,1,9,single_word,1128,2025,female,East Germany,6
gles_mip_v1_0019,6221,6221,pre020s,Moderate Miete Wohnungsbau,Moderate Miete Wohnungsbau,3,26,short_phrase,1,2025,male,East Germany,1 left
gles_mip_v1_0020,972,972,pre020s,Einwanderung,Einwanderung,1,12,single_word,80,2025,female,East Germany,8
gles_mip_v1_0021,1915,1915,pre020s,Das Problem das die AfD wieder mehr an macht kommt und eine erneute nazi Zeit erwartet wird,Das Problem das die AfD wieder mehr an macht kommt und eine erneute nazi Zeit erwartet wird,17,91,elaborated,1,2025,male,West Germany,3
gles_mip_v1_0022,3422,3422,pre020s,Viel zu hohe Preise für alles.,Viel zu hohe Preise für alles.,6,30,elaborated,1,2025,male,West Germany,Not ratable
gles_mip_v1_0023,285,285,pre020s,Zusammensetzung der künftigen Regierung,Zusammensetzung der künftigen Regierung,4,39,short_phrase,1,2025,male,West Germany,8
gles_mip_v1_0024,111,111,pre020s,Unzufriedene Menschen,Unzufriedene Menschen,2,21,short_phrase,1,2025,female,West Germany,5
gles_mip_v1_0025,4058,4058,pre020s,zuviel Ausgaben ins Ausland (Rüstung und Asylanten),zuviel Ausgaben ins Ausland (Rüstung und Asylanten),7,51,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0026,6754,6754,pre020s,wirtschaftliche Lage,wirtschaftliche Lage,2,20,short_phrase,99,2025,male,West Germany,9
gles_mip_v1_0027,3832,3832,pre020s,die Politik selbst,die Politik selbst,3,18,short_phrase,3,2025,male,West Germany,6
gles_mip_v1_0028,2529,2529,pre020s,Es gibt zu wenig Konsequenzen,Es gibt zu wenig Konsequenzen,5,29,elaborated,1,2025,female,West Germany,Not ratable
gles_mip_v1_0029,7562,7562,pre020s,Asylanten,Asylanten,1,9,single_word,52,2025,female,West Germany,6
gles_mip_v1_0030,205,205,pre020s,Ausländer zu viele,Ausländer zu viele,3,18,short_phrase,1,2025,male,West Germany,2
gles_mip_v1_0031,4648,4648,pre020s,Die Parteien,Die Parteien,2,12,short_phrase,1,2025,male,West Germany,3
gles_mip_v1_0032,5902,5902,pre020s,Aufnahme von Flüchtlingen die kriminell waren oder ihren pass weggeschmissen haben,Aufnahme von Flüchtlingen die kriminell waren oder ihren pass weggeschmissen haben,11,82,elaborated,1,2025,female,West Germany,Break-off
gles_mip_v1_0033,8301,8301,pre020s,Migration in den griff zu bekommen,Migration in den griff zu bekommen,6,34,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0034,8030,8030,pre020s,Wirtschaftliche Situation,Wirtschaftliche Situation,2,25,short_phrase,22,2025,male,West Germany,4
gles_mip_v1_0035,2165,2165,pre020s,Inflation,Inflation,1,9,single_word,136,2025,male,West Germany,4
gles_mip_v1_0036,2636,2636,pre020s,offene Grenzen,offene Grenzen,2,14,short_phrase,2,2025,male,East Germany,9
gles_mip_v1_0037,6156,6156,pre020s,migration,migration,1,9,single_word,1128,2025,male,West Germany,9
gles_mip_v1_0038,4370,4370,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,female,West Germany,2
gles_mip_v1_0039,1311,1311,pre020s,"Rente, Mindestlohn, Wirtschaft und Grenzkontrollen","Rente, Mindestlohn, Wirtschaft und Grenzkontrollen",5,50,elaborated,1,2025,male,West Germany,4
gles_mip_v1_0040,8669,8669,pre020s,Zu viele Einwanderer die finanziert werden,Zu viele Einwanderer die finanziert werden,6,42,elaborated,1,2025,female,West Germany,8
gles_mip_v1_0041,7886,7886,pre020s,"Die Parteinekartelle, die  ihre Demokratie  verteidigen wollen","Die Parteinekartelle, die ihre Demokratie verteidigen wollen",7,60,elaborated,1,2025,male,West Germany,7
gles_mip_v1_0042,7726,7726,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,female,East Germany,Not ratable
gles_mip_v1_0043,7063,7063,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,female,West Germany,6
gles_mip_v1_0044,2503,2503,pre020s,Migration,Migration,1,9,single_word,1128,2025,male,West Germany,9
gles_mip_v1_0045,7792,7792,pre020s,Keine Einigung bei den Problem,Keine Einigung bei den Problem,5,30,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0046,2439,2439,pre020s,Die fehlende Bereitschaft der Parteien gemeinsam nach Lösungen in den wichtigen Sachthemen zusammen zuarbeiten.,Die fehlende Bereitschaft der Parteien gemeinsam nach Lösungen in den wichtigen Sachthemen zusammen zuarbeiten.,14,111,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0047,2814,2814,pre020s,das rechte Parteien an die Macht gelangen,das rechte Parteien an die Macht gelangen,7,41,elaborated,1,2025,female,West Germany,4
gles_mip_v1_0048,3739,3739,pre020s,Zu viele Ausländer im Land die sich nicht anpassen wollen,Zu viele Ausländer im Land die sich nicht anpassen wollen,10,57,elaborated,1,2025,female,West Germany,5
gles_mip_v1_0049,1083,1083,pre020s,Migration,Migration,1,9,single_word,1128,2025,male,West Germany,8
gles_mip_v1_0050,5742,5742,pre020s,Klimawandel,Klimawandel,1,11,single_word,89,2025,male,Unit nonresponse,Unit nonresponse
gles_mip_v1_0051,2371,2371,pre020s,Inflation,Inflation,1,9,single_word,136,2025,female,Unit nonresponse,Unit nonresponse
gles_mip_v1_0052,6440,6440,pre020s,"Migration, wirtschaftliche Lage","Migration, wirtschaftliche Lage",3,31,short_phrase,1,2025,male,West Germany,8
gles_mip_v1_0053,6060,6060,pre020s,Keine Partei hat die absolute Mehrheit,Keine Partei hat die absolute Mehrheit,6,38,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0054,7362,7362,pre020s,Wirtschaft,Wirtschaft,1,10,single_word,1133,2025,female,West Germany,3
gles_mip_v1_0055,5986,5986,pre020s,zuviele kriminelle ausländer die nicht abgeschoben werden,zuviele kriminelle ausländer die nicht abgeschoben werden,7,57,elaborated,1,2025,male,West Germany,8
gles_mip_v1_0056,6122,6122,pre020s,Energie,Energie,1,7,single_word,29,2025,male,West Germany,8
gles_mip_v1_0057,216,216,pre020s,armut,armut,1,5,single_word,33,2025,female,East Germany,3
gles_mip_v1_0058,1716,1716,pre020s,Laute Forderungen werden über den Konsens/das langfristige Wohl Deutschlands gestellt,Laute Forderungen werden über den Konsens/das langfristige Wohl Deutschlands gestellt,11,85,elaborated,1,2025,female,West Germany,5
gles_mip_v1_0059,6638,6638,pre020s,Asolanten,Asolanten,1,9,single_word,1,2025,female,West Germany,6
gles_mip_v1_0060,2678,2678,pre020s,"Zu viele Flüchtlinge, wird nichts für armen Menschen gemacht und zu wenig Geld geben einen","Zu viele Flüchtlinge, wird nichts für armen Menschen gemacht und zu wenig Geld geben einen",15,90,elaborated,1,2025,female,West Germany,Not ratable
gles_mip_v1_0061,5316,5316,pre020s,Die Schaffung eines einheitlichen Kurses,Die Schaffung eines einheitlichen Kurses,5,40,elaborated,1,2025,male,West Germany,6
gles_mip_v1_0062,5987,5987,pre020s,Jeder ist sich selbst der nächste,Jeder ist sich selbst der nächste,6,33,elaborated,1,2025,male,East Germany,5
gles_mip_v1_0063,2786,2786,pre020s,Aufnahme von Flüchtlingen,Aufnahme von Flüchtlingen,3,25,short_phrase,1,2025,female,West Germany,5
gles_mip_v1_0064,293,293,pre020s,Inflation,Inflation,1,9,single_word,136,2025,male,East Germany,6
gles_mip_v1_0065,7958,7958,pre020s,es fließt zuviel Geld ins Ausland,es fließt zuviel Geld ins Ausland,6,33,elaborated,1,2025,female,West Germany,1 left
gles_mip_v1_0066,4885,4885,pre020s,Wirtschaft muss wieder in Gang kommen,Wirtschaft muss wieder in Gang kommen,6,37,elaborated,1,2025,female,West Germany,6
gles_mip_v1_0067,8585,8585,pre020s,Migration,Migration,1,9,single_word,1128,2025,female,East Germany,5
gles_mip_v1_0068,2433,2433,pre020s,Rechtsextremismus,Rechtsextremismus,1,17,single_word,26,2025,female,West Germany,3
gles_mip_v1_0069,1694,1694,pre020s,Ausländer,Ausländer,1,9,single_word,111,2025,female,East Germany,Not ratable
gles_mip_v1_0070,7869,7869,pre020s,Uneinigkeit,Uneinigkeit,1,11,single_word,34,2025,female,West Germany,7
gles_mip_v1_0071,1497,1497,pre020s,Soziale ungerechtigkeit,Soziale ungerechtigkeit,2,23,short_phrase,27,2025,female,West Germany,6
gles_mip_v1_0072,6711,6711,pre020s,Probleme werden nicht angepackt sondern nur auf Fehler der anderen hingewiesen,Probleme werden nicht angepackt sondern nur auf Fehler der anderen hingewiesen,11,78,elaborated,1,2025,male,West Germany,7
gles_mip_v1_0073,8095,8095,pre020s,rentensicherung,rentensicherung,1,15,single_word,2,2025,male,West Germany,11 right
gles_mip_v1_0074,1824,1824,pre020s,Umterstützung Ukraine,Umterstützung Ukraine,2,21,short_phrase,1,2025,female,West Germany,2
gles_mip_v1_0075,6010,6010,pre020s,Energiepreise,Energiepreise,1,13,single_word,15,2025,male,West Germany,6
gles_mip_v1_0076,4376,4376,pre020s,Das die sich nicht einig sind,Das die sich nicht einig sind,6,29,elaborated,1,2025,female,West Germany,Not ratable
