sample_id,review_group,variable,model_value,reviewed_value,note
gles_mip_v1_0115,flagged,issue_domain,security,economy,
gles_mip_v1_0327,flagged,issue_domain,other,democracy_governance,
gles_mip_v1_0258,flagged,issue_domain,economy,democracy_governance,
gles_mip_v1_0010,flagged,issue_domain,social_welfare,unclear,
gles_mip_v1_0223,flagged,issue_domain,other,migration,
gles_mip_v1_0221,flagged,issue_domain,social_welfare,economy,
gles_mip_v1_0243,flagged,issue_domain,security,social_welfare,
gles_mip_v1_0062,flagged,issue_domain,other,democracy_governance,
gles_mip_v1_0218,flagged,issue_domain,economy,democracy_governance,
gles_mip_v1_0025,flagged,issue_domain,security,economy,
gles_mip_v1_0070,flagged,issue_domain,other,democracy_governance,
gles_mip_v1_0343,flagged,issue_domain,other,democracy_governance,
gles_mip_v1_0222,flagged,issue_domain,security,democracy_governance,
gles_mip_v1_0369,flagged,issue_domain,other,economy,
gles_mip_v1_0087,flagged,issue_domain,social_welfare,democracy_governance,
gles_mip_v1_0173,flagged,issue_domain,security,democracy_governance,
gles_mip_v1_0134,flagged,issue_domain,other,migration,
gles_mip_v1_0358,flagged,issue_domain,security,migration,
gles_mip_v1_0360,flagged,issue_domain,democracy_governance,unclear,
gles_mip_v1_0336,flagged,issue_domain,other,economy,
gles_mip_v1_0148,flagged,issue_domain,social_welfare,economy,
gles_mip_v1_0202,flagged,issue_domain,security,democracy_governance,
gles_mip_v1_0398,flagged,issue_domain,migration,democracy_governance,
gles_mip_v1_0264,flagged,issue_domain,other,economy,
gles_mip_v1_0201,flagged,issue_domain,social_welfare,democracy_governance,
gles_mip_v1_0114,flagged,issue_domain,democracy_governance,social_welfare,
gles_mip_v1_0361,flagged,issue_domain,other,democracy_governance,
gles_mip_v1_0276,flagged,issue_domain,other,democracy_governance,
gles_mip_v1_0399,flagged,issue_domain,other,democracy_governance,
gles_mip_v1_0011,flagged,issue_domain,social_welfare,migration,
